dni,apellido,nombre,tipo_dni,fecha_nacimiento,sexo,grado,division
47000001,Mamani,Lautaro,DNI,15/03/2018,masculino,1°,A
47000002,Flores,Camila Abigail,DNI,22/07/2018,femenino,1°,A
47000003,Vilte,Mateo,DNI,10/11/2017,masculino,1°,A
47000004,Torres,Morena,DNI,05/02/2018,femenino,1°,B
47000005,Coronel,Benjamín,DNI,30/06/2017,masculino,1°,B
47000006,Cruz,Valentina,DNI,18/09/2018,femenino,1°,B
47000007,Morales,Santiago,DNI,02/12/2017,masculino,2°,A
47000008,González,Guadalupe,DNI,25/04/2018,femenino,2°,A
47000009,Gutierrez,Thiago,DNI,14/08/2017,masculino,2°,A
47000010,Cardozo,Zoe,DNI,09/01/2018,femenino,2°,B
47000011,Castillo,Bautista,DNI,20/05/2017,masculino,2°,B
47000012,Ramos,Martina,DNI,03/10/2018,femenino,2°,B
47000013,Rivero,Ignacio,DNI,28/02/2017,masculino,3°,A
47000014,Delgado,Catalina,DNI,16/07/2018,femenino,3°,A
47000015,Sosa,Francisco,DNI,11/11/2017,masculino,3°,A
47000016,Rojas,Emilia,DNI,07/03/2018,femenino,3°,B
47000017,Tejerina,Joaquín,DNI,23/06/2017,masculino,3°,B
47000018,Cabrera,Alma,DNI,19/12/2018,femenino,3°,B
47000019,Leiva,Santino,DNI,01/04/2018,masculino,3°,B
47000020,Cortéz,Isabella,DNI,13/09/2017,femenino,3°,B
